;name;loc_orig;start_walk
88;people88;{1800.0,2200.0};48
89;people89;{300.0,200.0};10
90;people90;{2100.0,600.0};55
91;people91;{2100.0,400.0};36
92;people92;{1700.0,2100.0};28
93;people93;{1200.0,600.0};29
94;people94;{1800.0,2600.0};59
95;people95;{200.0,1200.0};19
96;people96;{600.0,300.0};32
97;people97;{2100.0,700.0};59
98;people98;{1800.0,300.0};41
99;people99;{2700.0,2200.0};38
100;people100;{1700.0,2800.0};27
101;people101;{1200.0,1400.0};42
102;people102;{700.0,2400.0};11
103;people103;{200.0,700.0};26
104;people104;{2300.0,2400.0};59
105;people105;{1200.0,800.0};21
106;people106;{2300.0,2900.0};11
107;people107;{2900.0,2100.0};0
108;people108;{600.0,700.0};27
109;people109;{1700.0,2300.0};8
110;people110;{1400.0,400.0};40
111;people111;{400.0,300.0};54
112;people112;{1700.0,400.0};53
113;people113;{1800.0,700.0};4
114;people114;{1400.0,100.0};9
115;people115;{1900.0,1900.0};6
116;people116;{2900.0,2100.0};0
117;people117;{1200.0,1400.0};6
118;people118;{600.0,2400.0};47
119;people119;{700.0,2900.0};9
120;people120;{1600.0,100.0};12
121;people121;{1600.0,100.0};56
122;people122;{2100.0,300.0};39
123;people123;{2600.0,2700.0};37
124;people124;{1700.0,100.0};41
125;people125;{600.0,2300.0};57
126;people126;{2900.0,1400.0};39
127;people127;{900.0,2800.0};25
128;people128;{100.0,1300.0};3
129;people129;{2800.0,1800.0};47
130;people130;{700.0,1300.0};2
131;people131;{100.0,300.0};59
132;people132;{2600.0,2200.0};5
133;people133;{2400.0,1200.0};25
134;people134;{400.0,2800.0};58
135;people135;{1600.0,100.0};56
136;people136;{1400.0,2900.0};41
137;people137;{1300.0,1700.0};32
138;people138;{2200.0,1900.0};51
139;people139;{100.0,400.0};48
140;people140;{2800.0,1300.0};55
141;people141;{2200.0,100.0};19
142;people142;{800.0,2700.0};20
143;people143;{2600.0,2600.0};34
144;people144;{1100.0,1600.0};13
145;people145;{400.0,1700.0};15
146;people146;{1400.0,2600.0};8
147;people147;{2600.0,1900.0};33
148;people148;{600.0,100.0};16
149;people149;{2900.0,1400.0};42
150;people150;{1300.0,1800.0};32
151;people151;{2700.0,100.0};32
152;people152;{600.0,1800.0};53
153;people153;{1400.0,900.0};25
154;people154;{700.0,2600.0};59
155;people155;{1800.0,100.0};27
156;people156;{1200.0,1100.0};24
157;people157;{900.0,2800.0};2
158;people158;{1400.0,1400.0};12
159;people159;{2600.0,2600.0};13
160;people160;{1200.0,800.0};43
161;people161;{2700.0,300.0};36
162;people162;{1200.0,400.0};39
163;people163;{2300.0,2700.0};44
164;people164;{300.0,1100.0};10
165;people165;{2800.0,400.0};37
166;people166;{1200.0,1900.0};44
167;people167;{400.0,900.0};3
168;people168;{1600.0,1100.0};58
169;people169;{1400.0,2700.0};14
170;people170;{100.0,700.0};32
171;people171;{1400.0,200.0};16
172;people172;{1400.0,1100.0};26
173;people173;{1400.0,200.0};13
174;people174;{1600.0,2700.0};27
175;people175;{1200.0,1700.0};36
176;people176;{2600.0,2800.0};3
177;people177;{2300.0,300.0};49
178;people178;{100.0,2600.0};47
179;people179;{2100.0,1300.0};13
180;people180;{1200.0,2700.0};25
181;people181;{1800.0,1200.0};48
182;people182;{2700.0,600.0};26
183;people183;{2600.0,2600.0};35
184;people184;{400.0,1900.0};50
185;people185;{2600.0,1200.0};50
186;people186;{600.0,2700.0};4
187;people187;{400.0,800.0};35
188;people188;{200.0,900.0};47
189;people189;{1300.0,2900.0};30
190;people190;{1300.0,600.0};38
191;people191;{700.0,300.0};17
192;people192;{1400.0,1100.0};1
193;people193;{1200.0,1400.0};28
194;people194;{2600.0,2600.0};52
195;people195;{1600.0,1800.0};16
196;people196;{2400.0,700.0};4
197;people197;{900.0,1300.0};3
198;people198;{1300.0,1600.0};19
199;people199;{700.0,2200.0};24
200;people200;{600.0,1100.0};4
201;people201;{1100.0,1100.0};48
202;people202;{1600.0,1200.0};58
203;people203;{1400.0,400.0};30
204;people204;{700.0,200.0};29
205;people205;{1100.0,1100.0};4
206;people206;{2800.0,1400.0};32
207;people207;{1100.0,2100.0};20
208;people208;{2700.0,2600.0};11
209;people209;{200.0,2400.0};3
210;people210;{2700.0,2200.0};51
211;people211;{2900.0,900.0};31
212;people212;{800.0,300.0};28
213;people213;{1400.0,2600.0};46
214;people214;{1600.0,1600.0};58
215;people215;{2200.0,1400.0};5
216;people216;{2100.0,2900.0};42
217;people217;{800.0,2800.0};19
218;people218;{2300.0,2300.0};52
219;people219;{1400.0,1900.0};47
220;people220;{1700.0,2700.0};52
221;people221;{800.0,1400.0};21
222;people222;{2900.0,100.0};42
223;people223;{2400.0,600.0};7
224;people224;{2900.0,1400.0};0
225;people225;{2900.0,900.0};16
226;people226;{400.0,2400.0};59
227;people227;{300.0,600.0};58
228;people228;{700.0,200.0};9
229;people229;{2400.0,1400.0};43
230;people230;{2200.0,2600.0};29
231;people231;{2600.0,2600.0};40
232;people232;{1300.0,2700.0};43
233;people233;{1600.0,1200.0};24
234;people234;{2900.0,1400.0};39
235;people235;{900.0,800.0};24
236;people236;{1600.0,300.0};36
237;people237;{700.0,2200.0};43
238;people238;{1600.0,100.0};45
239;people239;{900.0,1300.0};57
240;people240;{2200.0,2100.0};32
241;people241;{1800.0,1300.0};50
242;people242;{200.0,400.0};13
243;people243;{2800.0,700.0};45
244;people244;{400.0,1100.0};2
245;people245;{2600.0,2900.0};15
246;people246;{400.0,300.0};5
247;people247;{1300.0,1300.0};23
248;people248;{2200.0,2100.0};27
249;people249;{1600.0,1300.0};1
250;people250;{1200.0,1600.0};37
251;people251;{800.0,200.0};56
252;people252;{400.0,1600.0};41
253;people253;{1800.0,800.0};33
254;people254;{900.0,800.0};31
255;people255;{400.0,1400.0};42
256;people256;{2700.0,1200.0};22
257;people257;{2600.0,1700.0};32
258;people258;{2300.0,1200.0};57
259;people259;{2300.0,2200.0};42
260;people260;{1900.0,1100.0};8
261;people261;{700.0,2300.0};31
262;people262;{1300.0,900.0};37
263;people263;{200.0,300.0};52
264;people264;{1900.0,200.0};8
265;people265;{1700.0,2400.0};54
266;people266;{700.0,300.0};39
267;people267;{800.0,900.0};35
268;people268;{1800.0,2200.0};45
269;people269;{1400.0,1600.0};27
270;people270;{200.0,700.0};36
271;people271;{1700.0,1800.0};14
272;people272;{200.0,2600.0};16
273;people273;{2600.0,1600.0};28
274;people274;{600.0,2600.0};25
275;people275;{2100.0,2800.0};36
276;people276;{900.0,1700.0};49
277;people277;{1300.0,800.0};13
278;people278;{1300.0,1300.0};38
279;people279;{2200.0,900.0};31
280;people280;{200.0,700.0};23
281;people281;{2600.0,1900.0};10
282;people282;{2100.0,300.0};29
283;people283;{800.0,2700.0};44
284;people284;{2400.0,900.0};38
285;people285;{2600.0,2600.0};9
286;people286;{2900.0,1700.0};50
287;people287;{1300.0,1100.0};16
288;people288;{1100.0,700.0};33
289;people289;{1900.0,700.0};2
290;people290;{2200.0,700.0};3
291;people291;{600.0,800.0};45
292;people292;{2700.0,400.0};44
293;people293;{2800.0,900.0};56
294;people294;{200.0,1600.0};59
295;people295;{900.0,200.0};13
296;people296;{600.0,600.0};26
297;people297;{200.0,2900.0};47
298;people298;{700.0,2800.0};5
299;people299;{300.0,2600.0};54
300;people300;{700.0,1300.0};10
301;people301;{1400.0,2600.0};27
302;people302;{2300.0,2900.0};57
303;people303;{2300.0,1700.0};32
304;people304;{800.0,2800.0};10
305;people305;{1400.0,600.0};11
306;people306;{1400.0,2200.0};57
307;people307;{300.0,200.0};27
308;people308;{2700.0,2700.0};13
309;people309;{2100.0,400.0};7
310;people310;{1200.0,1200.0};16
311;people311;{1200.0,2900.0};33
312;people312;{2200.0,600.0};6
313;people313;{200.0,800.0};13
314;people314;{2300.0,600.0};30
315;people315;{200.0,2900.0};46
316;people316;{1600.0,2400.0};45
317;people317;{1900.0,700.0};46
318;people318;{200.0,300.0};29
319;people319;{1300.0,1700.0};52
320;people320;{400.0,800.0};48
321;people321;{900.0,1100.0};28
322;people322;{1600.0,1400.0};1
323;people323;{1800.0,2200.0};1
324;people324;{1400.0,1300.0};4
325;people325;{700.0,700.0};45
326;people326;{1200.0,600.0};7
327;people327;{700.0,2400.0};55
328;people328;{1800.0,1300.0};19
329;people329;{1200.0,2600.0};44
330;people330;{400.0,2800.0};45
331;people331;{2400.0,800.0};30
332;people332;{2700.0,900.0};36
333;people333;{1300.0,200.0};0
334;people334;{1100.0,1400.0};43
335;people335;{1900.0,1400.0};53
336;people336;{1100.0,2200.0};30
337;people337;{900.0,2400.0};55
338;people338;{1900.0,2100.0};5
339;people339;{2600.0,300.0};42
340;people340;{2100.0,2200.0};28
341;people341;{700.0,300.0};33
342;people342;{2200.0,2900.0};1
343;people343;{2100.0,2300.0};31
344;people344;{1600.0,800.0};8
345;people345;{2300.0,400.0};46
346;people346;{1300.0,1900.0};44
347;people347;{2700.0,1100.0};13
348;people348;{300.0,700.0};24
349;people349;{1200.0,2300.0};9
350;people350;{1200.0,600.0};28
351;people351;{1300.0,300.0};36
352;people352;{2600.0,2900.0};30
353;people353;{600.0,200.0};37
354;people354;{1600.0,400.0};9
355;people355;{2200.0,1200.0};33
356;people356;{2800.0,2300.0};20
357;people357;{300.0,300.0};22
358;people358;{700.0,2800.0};26
359;people359;{700.0,700.0};4
360;people360;{2900.0,100.0};28
361;people361;{2300.0,1600.0};48
362;people362;{2900.0,2400.0};31
363;people363;{1700.0,1100.0};33
364;people364;{800.0,1100.0};25
365;people365;{2600.0,700.0};38
366;people366;{1300.0,300.0};55
367;people367;{400.0,1200.0};23
368;people368;{1900.0,2100.0};38
369;people369;{600.0,2300.0};42
370;people370;{300.0,300.0};57
371;people371;{2300.0,800.0};5
372;people372;{1700.0,2700.0};46
373;people373;{1700.0,2900.0};15
374;people374;{600.0,800.0};58
375;people375;{2900.0,1100.0};43
376;people376;{1800.0,1300.0};2
377;people377;{100.0,2200.0};37
378;people378;{2300.0,100.0};46
379;people379;{1100.0,2100.0};58
380;people380;{700.0,1400.0};13
381;people381;{1700.0,1600.0};25
382;people382;{1700.0,2400.0};50
383;people383;{2600.0,1400.0};59
384;people384;{2900.0,600.0};56
385;people385;{1200.0,2300.0};3
386;people386;{1300.0,2700.0};31
387;people387;{1600.0,2100.0};58
388;people388;{700.0,200.0};51
389;people389;{1900.0,1700.0};13
390;people390;{300.0,100.0};4
391;people391;{100.0,1100.0};18
392;people392;{800.0,700.0};51
393;people393;{900.0,2600.0};12
394;people394;{2700.0,2100.0};48
395;people395;{300.0,900.0};18
396;people396;{2800.0,1100.0};27
397;people397;{2600.0,100.0};50
398;people398;{1700.0,2900.0};35
399;people399;{2400.0,2300.0};16
400;people400;{2400.0,2900.0};45
401;people401;{800.0,1100.0};9
402;people402;{2900.0,1600.0};12
403;people403;{2900.0,900.0};46
404;people404;{2600.0,600.0};46
405;people405;{2900.0,2200.0};36
406;people406;{2700.0,2300.0};13
407;people407;{1200.0,1400.0};21
408;people408;{400.0,700.0};43
409;people409;{1100.0,2900.0};46
410;people410;{1200.0,800.0};44
411;people411;{1100.0,1600.0};21
412;people412;{2800.0,1300.0};25
413;people413;{1100.0,1800.0};0
414;people414;{600.0,1400.0};43
415;people415;{2400.0,700.0};13
416;people416;{1600.0,700.0};33
417;people417;{1400.0,700.0};24
418;people418;{400.0,200.0};15
419;people419;{1600.0,2400.0};30
420;people420;{2800.0,400.0};7
421;people421;{1800.0,200.0};40
422;people422;{1800.0,2400.0};35
423;people423;{2300.0,2100.0};15
424;people424;{1400.0,400.0};12
425;people425;{100.0,1200.0};29
426;people426;{800.0,1200.0};15
427;people427;{1300.0,800.0};3
428;people428;{2600.0,200.0};43
429;people429;{2200.0,1200.0};28
430;people430;{1300.0,2900.0};54
431;people431;{100.0,1900.0};35
432;people432;{1400.0,800.0};50
433;people433;{1100.0,900.0};31
434;people434;{1400.0,600.0};33
435;people435;{600.0,1100.0};50
436;people436;{900.0,1600.0};25
437;people437;{2300.0,400.0};24
438;people438;{2800.0,1100.0};49
439;people439;{1700.0,1800.0};55
440;people440;{1700.0,200.0};4
441;people441;{1300.0,2800.0};14
442;people442;{800.0,2800.0};42
443;people443;{1100.0,1900.0};18
444;people444;{1900.0,1300.0};31
445;people445;{900.0,2800.0};48
446;people446;{1700.0,1300.0};38
447;people447;{100.0,400.0};11
448;people448;{2900.0,800.0};48
449;people449;{1700.0,1200.0};20
450;people450;{2100.0,1800.0};59
451;people451;{1800.0,1400.0};17
452;people452;{900.0,300.0};45
453;people453;{2100.0,2600.0};45
454;people454;{600.0,900.0};53
455;people455;{100.0,900.0};21
456;people456;{2600.0,2200.0};47
457;people457;{1200.0,1900.0};10
458;people458;{2300.0,1200.0};0
459;people459;{2900.0,1200.0};19
460;people460;{100.0,2800.0};42
461;people461;{1200.0,800.0};58
462;people462;{400.0,1300.0};51
463;people463;{800.0,1900.0};23
464;people464;{800.0,200.0};11
465;people465;{2900.0,100.0};52
466;people466;{1200.0,2700.0};21
467;people467;{1600.0,2400.0};40
468;people468;{100.0,2800.0};3
469;people469;{1200.0,2600.0};21
470;people470;{1700.0,1300.0};25
471;people471;{2900.0,100.0};53
472;people472;{1300.0,300.0};2
473;people473;{200.0,2300.0};48
474;people474;{100.0,2600.0};18
475;people475;{2200.0,400.0};58
476;people476;{400.0,800.0};57
477;people477;{1400.0,2100.0};43
478;people478;{2800.0,2300.0};24
479;people479;{1400.0,1700.0};14
480;people480;{200.0,400.0};11
481;people481;{100.0,900.0};24
482;people482;{2600.0,400.0};8
483;people483;{2300.0,2100.0};28
484;people484;{300.0,2300.0};17
485;people485;{300.0,2200.0};45
486;people486;{1700.0,1700.0};0
487;people487;{2700.0,100.0};24
488;people488;{1400.0,2400.0};57
489;people489;{1100.0,400.0};39
490;people490;{700.0,1100.0};46
491;people491;{2400.0,2400.0};41
492;people492;{700.0,1100.0};33
493;people493;{1400.0,900.0};40
494;people494;{1400.0,2700.0};6
495;people495;{1100.0,1300.0};25
496;people496;{300.0,1300.0};22
497;people497;{1200.0,1300.0};18
498;people498;{1600.0,2900.0};15
499;people499;{1400.0,900.0};45
